work,words
urn:cts:greekLit:tlg0007.tlg096,6042
urn:cts:greekLit:tlg0007.tlg097,6621
urn:cts:greekLit:tlg0007.tlg098,2162
urn:cts:greekLit:tlg0007.tlg099,862
urn:cts:greekLit:tlg0007.tlg100,852
urn:cts:greekLit:tlg0007.tlg101,5871
urn:cts:greekLit:tlg0007.tlg102,3714
urn:cts:greekLit:tlg0007.tlg103,2249
urn:cts:greekLit:tlg0007.tlg104,3659
urn:cts:greekLit:tlg0007.tlg105,996
urn:cts:greekLit:tlg0007.tlg106,3969
urn:cts:greekLit:tlg0007.tlg107,9366
urn:cts:greekLit:tlg0007.tlg108,3423
urn:cts:greekLit:tlg0007.tlg109,11501
urn:cts:greekLit:tlg0007.tlg110,3914
urn:cts:greekLit:tlg0007.tlg111,1945
urn:cts:greekLit:tlg0007.tlg112,8916
urn:cts:greekLit:tlg0007.tlg113,10849
urn:cts:greekLit:tlg0007.tlg114,1815
urn:cts:greekLit:tlg0007.tlg115,1531
urn:cts:greekLit:tlg0007.tlg116,1590
urn:cts:greekLit:tlg0007.tlg117,6743
urn:cts:greekLit:tlg0007.tlg118,12441
urn:cts:greekLit:tlg0007.tlg119,548
urn:cts:greekLit:tlg0007.tlg120,2007
urn:cts:greekLit:tlg0007.tlg121,1990
urn:cts:greekLit:tlg0007.tlg122,718
urn:cts:greekLit:tlg0007.tlg123,8969
urn:cts:greekLit:tlg0007.tlg125,4754
urn:cts:greekLit:tlg0007.tlg126,12688
urn:cts:greekLit:tlg0007.tlg127,5009
urn:cts:greekLit:tlg0007.tlg128,1626
urn:cts:greekLit:tlg0007.tlg129,11882
urn:cts:greekLit:tlg0007.tlg130,3454
urn:cts:greekLit:tlg0007.tlg131,1587
urn:cts:greekLit:tlg0007.tlg132,1245
urn:cts:greekLit:tlg0007.tlg133,1271
urn:cts:greekLit:tlg0007.tlg134,9442
urn:cts:greekLit:tlg0007.tlg135,1192
urn:cts:greekLit:tlg0007.tlg136,12073
urn:cts:greekLit:tlg0007.tlg137,502
urn:cts:greekLit:tlg0007.tlg138,13798
urn:cts:greekLit:tlg0007.tlg139,9714
urn:cts:greekLit:tlg0007.tlg140,9894
urn:cts:greekLit:tlg0007.tlg141,1238
urn:cts:greekLit:tlg0007.tlg146,1956
urn:cts:greekLit:tlg0007.tlg147,143
urn:cts:greekLit:tlg0008.tlg001,22008
urn:cts:greekLit:tlg0010.tlg001,1095
urn:cts:greekLit:tlg0010.tlg002,3559
urn:cts:greekLit:tlg0010.tlg003,1121
urn:cts:greekLit:tlg0010.tlg004,2901
urn:cts:greekLit:tlg0010.tlg005,3362
urn:cts:greekLit:tlg0010.tlg006,2924
urn:cts:greekLit:tlg0010.tlg007,2893
urn:cts:greekLit:tlg0010.tlg008,1324
urn:cts:greekLit:tlg0010.tlg009,3730
urn:cts:greekLit:tlg0010.tlg010,2748
urn:cts:greekLit:tlg0010.tlg011,10780
urn:cts:greekLit:tlg0010.tlg012,3191
urn:cts:greekLit:tlg0010.tlg013,3012
urn:cts:greekLit:tlg0010.tlg014,3736
urn:cts:greekLit:tlg0010.tlg015,4601
urn:cts:greekLit:tlg0010.tlg016,6129
urn:cts:greekLit:tlg0010.tlg017,7926
urn:cts:greekLit:tlg0010.tlg018,4578
urn:cts:greekLit:tlg0010.tlg019,17628
urn:cts:greekLit:tlg0010.tlg020,8771
urn:cts:greekLit:tlg0010.tlg021,15860
urn:cts:greekLit:tlg0010.tlg022,587
urn:cts:greekLit:tlg0010.tlg023,891
urn:cts:greekLit:tlg0010.tlg024,1143
urn:cts:greekLit:tlg0010.tlg025,667
urn:cts:greekLit:tlg0010.tlg026,780
urn:cts:greekLit:tlg0010.tlg027,1279
urn:cts:greekLit:tlg0010.tlg028,281
urn:cts:greekLit:tlg0010.tlg029,823
urn:cts:greekLit:tlg0010.tlg030,421
urn:cts:greekLit:tlg0011.tlg001,7294
urn:cts:greekLit:tlg0011.tlg002,7360
urn:cts:greekLit:tlg0011.tlg003,7982
urn:cts:greekLit:tlg0011.tlg004,9292
urn:cts:greekLit:tlg0011.tlg005,8704
urn:cts:greekLit:tlg0011.tlg006,8830
urn:cts:greekLit:tlg0011.tlg007,10400
urn:cts:greekLit:tlg0011.tlg008,1993
urn:cts:greekLit:tlg0012.tlg001,6441
urn:cts:greekLit:tlg0012.tlg002,6107
urn:cts:greekLit:tlg0012.tlg003,160
urn:cts:greekLit:tlg0013.tlg001,144
urn:cts:greekLit:tlg0013.tlg002,3373
urn:cts:greekLit:tlg0013.tlg003,3833
urn:cts:greekLit:tlg0013.tlg004,4031
urn:cts:greekLit:tlg0013.tlg005,2047
urn:cts:greekLit:tlg0013.tlg006,131
urn:cts:greekLit:tlg0013.tlg007,425
urn:cts:greekLit:tlg0013.tlg008,100
urn:cts:greekLit:tlg0013.tlg009,57
